...1,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,latitude,longitude
55308,Turkey,all_energy_types,2019,6.609000040124458,2.102167737706334,2338.015,83524.67,79.12632327819384,2.826756902810486,397.800544326,38.963745,35.243322
55314,Turkmenistan,all_energy_types,2019,1.9639013559920369,3.6281478174764095,110.936,5940.01,330.62256730073466,17.703012151078433,97.306322119,38.969719,59.556278
55320,Turks and Caicos Islands,all_energy_types,2019,0.0033590329,0,NA,NA,0,0,0.23745,21.694025,-71.797928
55326,Tuvalu,all_energy_types,2019,0,0,NA,NA,0,0,0,-7.109535,177.64933
55332,U.S. Pacific Islands,all_energy_types,2019,0.0042433738,0,NA,NA,0,0,0.301545627,NA,NA
55338,U.S. Territories,all_energy_types,2019,0,0,NA,NA,0,0,0,NA,NA
55344,U.S. Virgin Islands,all_energy_types,2019,0.03390320411814777,6.446496e-5,1.883,95.668,NA,NA,2.438125286,18.335765,-64.896335
55350,Uganda,all_energy_types,2019,0.1302694487,0.048945288000000003,103.1059,44216.2,2.946192768713729,1.263452903277116,5.866205464,1.373333,32.290275
55356,Ukraine,all_energy_types,2019,3.4806444268431926,2.3344879269428014,487.698,42153.2,82.57129771507721,7.136884766480881,202.513341064,48.379433,31.16558
55362,United Arab Emirates,all_energy_types,2019,4.606967409958773,10.760580278914016,663.292,9764.9,471.78848835715394,6.945609791703763,274.042277491,23.424076,53.847818
55368,United Kingdom,all_energy_types,2019,8.095451414235999,5.4639569992516375,2992.817,66827.7,121.13915957359,2.70496038155223,411.167847675,55.378051,-3.435973
55374,United States of America,all_energy_types,2019,100.434067942,101.400918072,19925.43,330043.8,304.3052708216304,5.040496889753446,5277.192754,37.09024,-95.712891
55380,Uruguay,all_energy_types,2019,0.23159837522591076,0.13986732,78.0812,3461.37,66.90945354755797,2.9661221296023976,7.311541742,-32.522779,-55.765835
55386,Uzbekistan,all_energy_types,2019,1.9024315802028733,2.1913395838502714,257.435,32966.1,57.70872442305499,7.38994923069075,99.389348903,41.377491,64.585262
55392,Vanuatu,all_energy_types,2019,0.003262026984,8.9894784e-5,0.761102,299.933,10.875852220329207,4.285926175466626,0.234325792,-15.376706,166.959158
55398,Venezuela,all_energy_types,2019,2.447474728443394,3.5516998673783937,190.1472,28515.85,85.82857352817447,12.871473934106808,131.48505504,6.42375,-66.58973
55404,Vietnam,all_energy_types,2019,3.509085547214925,2.5563721056978084,915.504,96425.9,36.39152496595754,3.8329549048556046,241.806422052,14.058324,108.277199
55410,Wake Island,all_energy_types,2019,0.0194360456,0,NA,NA,0,0,1.273786855,NA,NA
55416,W. Sahara,all_energy_types,2019,0.0037120955,0,NA,NA,0,0,0.26303824,24.215527,-12.885834
55422,Yemen,all_energy_types,2019,0.1590196691139078,0.13327309682395452,53.0838,29162.2,5.452938019556406,2.9956346213705087,8.292505229,15.552727,48.516388
55428,Zambia,all_energy_types,2019,0.20709655688327613,0.1480037942473037,247.1819,17873.85,11.586566793571398,0.8378305890652841,7.09628982,-13.133897,27.849332
55434,Zimbabwe,all_energy_types,2019,0.16865080875848742,0.1434622068068248,37.6204,14654.2,11.508701174986516,4.482961604833744,8.964759021,-19.015438,29.154857
